15,18,28,42,55,60
5,13,18,23,35,36
8,23,29,30,36,55
8,33,40,42,48,51
5,28,30,38,52,55
22,35,41,42,53,57
1,10,19,34,35,45
2,3,13,20,53,54
3,8,23,29,53,54
2,7,24,43,52,56
11,16,31,37,42,51
3,16,23,41,45,57
8,11,16,21,32,37
16,17,18,28,35,47
15,24,33,49,53,59
15,40,44,45,47,51
10,19,46,47,49,50
28,34,40,41,52,55
21,38,50,53,56,59
9,14,22,24,44,47
10,14,15,24,34,44
8,10,51,56,57,58
13,26,31,46,51,60
2,6,11,15,17,39
14,20,21,31,49,52
18,30,32,35,40,48
13,19,29,42,49,52
1,13,27,41,51,58
11,25,32,37,47,56
15,17,20,35,37,43
1,5,12,13,17,31
2,7,9,25,41,49
9,41,42,46,47,54
12,15,23,32,33,46
2,8,34,38,47,51
4,11,19,25,37,55
1,19,41,46,48,55
5,15,28,32,38,54
5,22,30,32,33,36
1,2,14,28,40,51
8,9,32,52,53,57
7,29,38,40,44,52
8,11,22,25,26,36
19,26,39,45,46,56
11,37,53,55,56,60
3,9,25,28,29,39
3,19,25,37,44,56
5,11,24,27,32,57
10,31,38,46,49,54
3,16,17,37,38,53
16,18,38,48,51,60
2,7,10,20,30,46
2,3,32,35,48,57
5,8,29,39,44,60
10,35,43,48,50,53
2,11,19,27,57,60
3,7,10,11,27,46
6,7,11,26,37,57
10,12,26,29,35,60
4,5,6,14,29,38
3,22,37,40,41,48
9,16,34,36,49,60
7,26,29,34,43,44
7,10,27,35,43,59
2,29,39,49,52,58
4,29,30,38,43,57
13,17,31,43,54,55
8,12,29,43,54,60
21,38,48,49,53,59
1,19,35,40,47,54
10,12,14,32,33,34
6,22,25,29,30,60
8,11,13,33,38,48
9,21,25,26,36,53
27,35,42,44,51,52
8,17,30,36,54,59
6,14,20,39,46,48
2,3,25,39,42,49
4,11,12,44,45,57
5,16,25,36,42,44
26,27,28,32,38,51
11,15,23,25,34,53
5,8,13,27,36,50
9,13,20,22,32,56
16,30,37,39,40,51
8,30,33,37,45,48
8,26,30,31,38,48
11,13,16,35,49,50
12,24,32,37,43,60
9,13,22,25,26,31
13,15,16,20,40,41
6,9,19,38,53,55
7,23,32,41,42,47
11,16,20,24,39,53
2,8,26,32,46,56
11,37,38,41,49,54
5,18,29,35,43,44
12,14,17,18,19,22
2,6,44,46,53,58
12,13,25,37,39,41
23,24,26,44,49,60
3,19,25,44,46,57
4,15,30,36,39,48
7,31,37,42,44,56
4,9,17,19,37,60
4,7,13,25,36,58
5,23,29,34,53,60
4,27,33,35,38,41
1,17,28,37,44,50
20,33,42,44,51,56
6,14,24,34,39,58
3,20,22,32,35,50
14,21,22,29,35,46
10,15,21,24,29,45
31,32,39,42,43,51
5,9,11,16,43,57
19,28,30,34,40,51
3,10,25,36,51,58
7,30,31,41,50,56
6,18,25,30,42,54
3,19,34,41,48,53
9,17,38,41,49,55
19,22,35,41,47,49
25,28,29,34,41,45
5,10,25,32,49,54
2,3,7,48,51,54
8,9,17,30,58,60
3,4,11,40,42,58
7,16,19,22,28,55
11,17,25,38,52,57
4,31,42,45,49,56
17,20,24,27,40,60
4,9,31,32,42,46
16,21,28,41,49,51
4,18,29,47,48,59
8,21,23,34,42,47
2,9,34,49,51,55
8,10,20,27,28,50
9,18,23,42,47,49
4,13,20,22,25,60
9,16,31,41,53,55
12,33,35,36,44,52
11,13,16,36,53,57
17,20,22,35,41,42
12,14,28,42,45,55
8,11,14,39,48,53
30,37,45,54,57,58
10,16,27,34,36,57
33,34,37,46,52,60
2,16,19,31,43,60
20,27,35,39,50,59
2,5,10,29,34,41
14,25,28,41,43,46
6,30,35,39,42,48
6,17,25,35,40,49
28,44,52,54,58,60
3,8,30,33,35,48
2,11,43,49,52,56
1,10,17,26,30,53
6,7,28,42,45,49
3,20,26,45,49,58
3,27,39,46,47,60
3,5,9,35,43,60
13,17,28,29,42,53
